Имя,цена
LTIM,"6,205.00"
POWERGRID,333.05
BPCL,362.35
COALINDIA,499.00
BHARTIARTL,"1,552.80"
SHRIRAMFIN,"3,253.90"
INDUSINDBK,"1,426.45"
ITC,512.00
NESTLEIND,"2,508.60"
BAJFINANCE,"7,255.55"
TATASTEEL,151.94
ADANIENT,"3,019.00"
DIVISLAB,"5,127.00"
DRREDDY,"6,698.90"
ONGC,311.50
ADANIPORTS,"1,465.60"
JSWSTEEL,925.45
BAJAJ-AUTO,"10,855.75"
CIPLA,"1,627.75"
APOLLOHOSP,"6,934.30"
WIPRO,524.85
TECHM,"1,639.50"
NTPC,403.25
M&M,"2,723.00"
ASIANPAINT,"3,238.00"
RELIANCE,"2,985.00"
TATAMOTORS,"1,068.80"
TCS,"4,473.95"
BAJAJFINSV,"1,864.00"
TATACONSUM,"1,188.00"
BRITANNIA,"5,846.70"
GRASIM,"2,740.00"
EICHERMOT,"4,794.70"
HCLTECH,"1,788.00"
TITAN,"3,714.95"
HDFCLIFE,750.00
HEROMOTOCO,"5,720.00"
LT,"3,615.10"
HINDALCO,668.25
HINDUNILVR,"2,828.10"
ULTRACEMCO,"11,500.00"
SUNPHARMA,"1,819.55"
AXISBANK,"1,176.00"
MARUTI,"12,250.00"
HDFCBANK,"1,638.30"
SBILIFE,"1,898.10"
INFY,"1,922.00"
KOTAKBANK,"1,767.55"
ICICIBANK,"1,225.95"
SBIN,811.50
